Country	region	col_plot	samples_names	Locality	Station	Grab	Distance_cage	Depth	AMBI	NSI	ISI	ITI	NQI1	Shannon
Norway	coast	4	FHF4-St4-Gr2-B	Farm_4	4	2	610	190	1.879653	23.706651	8.547179	42.9	0.77235842	4.7919258
Norway	coast	4	FHF4-St4-Gr2-C	Farm_4	4	2	610	190	1.879653	23.706651	8.547179	42.9	0.77235842	4.7919258
Norway	coast	4	FHF4-St5-Gr1-A	Farm_4	5	1	900	195	1.955734	24.964253	10.297872	43.7	0.77905077	5.0181581
Norway	coast	4	FHF4-St5-Gr1-B	Farm_4	5	1	900	195	1.955734	24.964253	10.297872	43.7	0.77905077	5.0181581
Norway	coast	4	FHF4-St5-Gr1-C	Farm_4	5	1	900	195	1.955734	24.964253	10.297872	43.7	0.77905077	5.0181581
Norway	coast	4	FHF4-St5-Gr2-A	Farm_4	5	2	900	195	1.657426	25.408456	9.667414	51	0.83836987	5.2796832
Norway	coast	4	FHF4-St5-Gr2-B	Farm_4	5	2	900	195	1.657426	25.408456	9.667414	51	0.83836987	5.2796832
Norway	coast	4	FHF4-St5-Gr2-C	Farm_4	5	2	900	195	1.657426	25.408456	9.667414	51	0.83836987	5.2796832
Norway	coast	5	FHF5-St1-Gr1-A	Farm_5	1	1	0	89	5.969388	6.86642	1.96	0.816	0.22117538	0.3579703
Norway	coast	5	FHF5-St1-Gr1-B	Farm_5	1	1	0	89	5.969388	6.86642	1.96	0.816	0.22117538	0.3579703
Norway	coast	5	FHF5-St1-Gr1-C	Farm_5	1	1	0	89	5.969388	6.86642	1.96	0.816	0.22117538	0.3579703
Norway	coast	5	FHF5-St1-Gr2-A	Farm_5	1	2	0	89	5.968531	6.558873	1.96	0.699	0.19638299	0.7421285
Norway	coast	5	FHF5-St1-Gr2-B	Farm_5	1	2	0	89	5.968531	6.558873	1.96	0.699	0.19638299	0.7421285
Norway	coast	5	FHF5-St1-Gr2-C	Farm_5	1	2	0	89	5.968531	6.558873	1.96	0.699	0.19638299	0.7421285
Norway	coast	5	FHF5-St2-Gr1-A	Farm_5	2	1	66	104	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St2-Gr1-B	Farm_5	2	1	66	104	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St2-Gr1-C	Farm_5	2	1	66	104	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St2-Gr2-A	Farm_5	2	2	66	104	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St2-Gr2-B	Farm_5	2	2	66	104	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St2-Gr2-C	Farm_5	2	2	66	104	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St3-Gr1-A	Farm_5	3	1	200	116	NA	NA	NA	NA	NA	NA
